Year,Strata,Time_Frames,Strata_Start_Date,Strata_End_Date,Sample_Size,Strata_SeasonID,Strata_Season
2011,1,6/6-6/13,6/6/2011,6/13/2011,288,1,Summer
2011,2,6/14-6/19,6/14/2011,6/19/2011,288,1,Summer
2011,3,6/20-6/27,6/20/2011,6/27/2011,288,1,Summer
2011,4,6/28-7/5,6/28/2011,7/5/2011,288,1,Summer
2011,5,7/6-7/11,7/6/2011,7/11/2011,288,1,Summer
2011,6,7/12-7/18,7/12/2011,7/18/2011,288,1,Summer
2011,7,7/19-7/25,7/19/2011,7/25/2011,288,2,Fall
2011,8,7/26-8/5,7/26/2011,8/5/2011,288,2,Fall
2011,9,8/6-8/11,8/6/2011,8/11/2011,288,2,Fall
2011,10,8/12-8/21,8/12/2011,8/21/2011,288,2,Fall
2011,11,8/22-8/26,8/22/2011,8/26/2011,288,2,Fall
2011,12,8/27-9/7,8/27/2011,9/7/2011,288,2,Fall
